"GSM_ID","Sample_Name","Condition","GSE","Platform"
"GSM8658466","Patient 1 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658467","Patient 1 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658484","Patient 10 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658485","Patient 10 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658486","Patient 11 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658487","Patient 11 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658488","Patient 12 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658489","Patient 12 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658490","Patient 13 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658491","Patient 13 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658492","Patient 14 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658493","Patient 14 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658494","Patient 15 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658495","Patient 15 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658496","Patient 16 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658497","Patient 16 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658498","Patient 17 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658499","Patient 17 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658500","Patient 18 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658501","Patient 18 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658502","Patient 19 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658503","Patient 19 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658468","Patient 2 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658469","Patient 2 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658504","Patient 20 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
