"GSM_ID","Condition","SampleName","GSE","Platform"
"GSM2142642","Control","L511N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142643","Control","L532N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142644","Control","L561N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142645","Control","L563N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142646","Control","L566N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142647","Control","L572N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142648","Control","L606N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142649","Control","L616N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142650","Control","L644N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142651","Control","L656N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142652","Control","L661N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142653","Control","L682N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142654","Control","L723N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142655","Control","L724N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142656","Control","L736N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142657","Control","L738N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142658","Control","L809N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142659","Control","L831N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142660","Control","L881N","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142481","Tumor","L511T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142485","Tumor","L532T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142497","Tumor","L561T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142498","Tumor","L563T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142500","Tumor","L566T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142504","Tumor","L572T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142520","Tumor","L606T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142525","Tumor","L616T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142537","Tumor","L644T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142541","Tumor","L656T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142543","Tumor","L661T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142549","Tumor","L682T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142560","Tumor","L723T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142561","Tumor","L724T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142566","Tumor","L736T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142567","Tumor","L738T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142596","Tumor","L809T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142609","Tumor","L831T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
"GSM2142636","Tumor","L881T","GSE81089","Illumina HiSeq 2500 (GPL16791)"
