"sampleid","geoaccession","title","condition","patientid","batch","platform"
"GSM8658466","GSM8658466","Patient 1 Normal","control","1","GSE283245","GPL24676"
"GSM8658467","GSM8658467","Patient 1 Tumor","diseased","1","GSE283245","GPL24676"
"GSM8658468","GSM8658468","Patient 2 Normal","control","2","GSE283245","GPL24676"
"GSM8658469","GSM8658469","Patient 2 Tumor","diseased","2","GSE283245","GPL24676"
"GSM8658470","GSM8658470","Patient 3 Normal","control","3","GSE283245","GPL24676"
"GSM8658471","GSM8658471","Patient 3 Tumor","diseased","3","GSE283245","GPL24676"
"GSM8658472","GSM8658472","Patient 4 Normal","control","4","GSE283245","GPL24676"
"GSM8658473","GSM8658473","Patient 4 Tumor","diseased","4","GSE283245","GPL24676"
"GSM8658474","GSM8658474","Patient 5 Normal","control","5","GSE283245","GPL24676"
"GSM8658475","GSM8658475","Patient 5 Tumor","diseased","5","GSE283245","GPL24676"
"GSM8658476","GSM8658476","Patient 6 Normal","control","6","GSE283245","GPL24676"
"GSM8658477","GSM8658477","Patient 6 Tumor","diseased","6","GSE283245","GPL24676"
"GSM8658478","GSM8658478","Patient 7 Normal","control","7","GSE283245","GPL24676"
"GSM8658479","GSM8658479","Patient 7 Tumor","diseased","7","GSE283245","GPL24676"
"GSM8658480","GSM8658480","Patient 8 Normal","control","8","GSE283245","GPL24676"
"GSM8658481","GSM8658481","Patient 8 Tumor","diseased","8","GSE283245","GPL24676"
"GSM8658482","GSM8658482","Patient 9 Normal","control","9","GSE283245","GPL24676"
"GSM8658483","GSM8658483","Patient 9 Tumor","diseased","9","GSE283245","GPL24676"
"GSM8658484","GSM8658484","Patient 10 Normal","control","10","GSE283245","GPL24676"
"GSM8658485","GSM8658485","Patient 10 Tumor","diseased","10","GSE283245","GPL24676"
"GSM8658486","GSM8658486","Patient 11 Normal","control","11","GSE283245","GPL24676"
"GSM8658487","GSM8658487","Patient 11 Tumor","diseased","11","GSE283245","GPL24676"
"GSM8658488","GSM8658488","Patient 12 Normal","control","12","GSE283245","GPL24676"
"GSM8658489","GSM8658489","Patient 12 Tumor","diseased","12","GSE283245","GPL24676"
"GSM8658490","GSM8658490","Patient 13 Normal","control","13","GSE283245","GPL24676"
"GSM8658491","GSM8658491","Patient 13 Tumor","diseased","13","GSE283245","GPL24676"
"GSM8658492","GSM8658492","Patient 14 Normal","control","14","GSE283245","GPL24676"
"GSM8658493","GSM8658493","Patient 14 Tumor","diseased","14","GSE283245","GPL24676"
"GSM8658494","GSM8658494","Patient 15 Normal","control","15","GSE283245","GPL24676"
"GSM8658495","GSM8658495","Patient 15 Tumor","diseased","15","GSE283245","GPL24676"
"GSM8658496","GSM8658496","Patient 16 Normal","control","16","GSE283245","GPL24676"
"GSM8658497","GSM8658497","Patient 16 Tumor","diseased","16","GSE283245","GPL24676"
"GSM8658498","GSM8658498","Patient 17 Normal","control","17","GSE283245","GPL24676"
"GSM8658499","GSM8658499","Patient 17 Tumor","diseased","17","GSE283245","GPL24676"
"GSM8658500","GSM8658500","Patient 18 Normal","control","18","GSE283245","GPL24676"
"GSM8658501","GSM8658501","Patient 18 Tumor","diseased","18","GSE283245","GPL24676"
"GSM8658502","GSM8658502","Patient 19 Normal","control","19","GSE283245","GPL24676"
"GSM8658503","GSM8658503","Patient 19 Tumor","diseased","19","GSE283245","GPL24676"
"GSM8658504","GSM8658504","Patient 20 Normal","control","20","GSE283245","GPL24676"
"GSM8658505","GSM8658505","Patient 20 Tumor","diseased","20","GSE283245","GPL24676"
"GSM8658506","GSM8658506","Patient 21 Normal","control","21","GSE283245","GPL24676"
"GSM8658507","GSM8658507","Patient 21 Tumor","diseased","21","GSE283245","GPL24676"
"GSM8658508","GSM8658508","Patient 22 Normal","control","22","GSE283245","GPL24676"
"GSM8658509","GSM8658509","Patient 22 Tumor","diseased","22","GSE283245","GPL24676"
"GSM8658510","GSM8658510","Patient 23 Normal","control","23","GSE283245","GPL24676"
"GSM8658511","GSM8658511","Patient 23 Tumor","diseased","23","GSE283245","GPL24676"
"GSM8658512","GSM8658512","Patient 24 Normal","control","24","GSE283245","GPL24676"
"GSM8658513","GSM8658513","Patient 24 Tumor","diseased","24","GSE283245","GPL24676"
"GSM8658514","GSM8658514","Patient 25 Normal","control","25","GSE283245","GPL24676"
"GSM8658515","GSM8658515","Patient 25 Tumor","diseased","25","GSE283245","GPL24676"
"GSM8658516","GSM8658516","Patient 26 Normal","control","26","GSE283245","GPL24676"
"GSM8658517","GSM8658517","Patient 26 Tumor","diseased","26","GSE283245","GPL24676"
"GSM8658518","GSM8658518","Patient 27 Normal","control","27","GSE283245","GPL24676"
"GSM8658519","GSM8658519","Patient 27 Tumor","diseased","27","GSE283245","GPL24676"
"GSM8658520","GSM8658520","Patient 28 Normal","control","28","GSE283245","GPL24676"
"GSM8658521","GSM8658521","Patient 28 Tumor","diseased","28","GSE283245","GPL24676"
"GSM8658522","GSM8658522","Patient 29 Normal","control","29","GSE283245","GPL24676"
