"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"5831",107.09939109946,2.97763240000574,0.143738241226311,20.7156590661044,2.50257572410799e-95,4.7181060126608e-91,"PYCR1","Up",FALSE
"1301",595.670553674373,5.46997703404867,0.269527756210714,20.2946706155647,1.43311833925791e-91,1.35092900250147e-87,"COL11A1","Up",FALSE
"6696",1180.34447136502,4.32843237564109,0.226987237095841,19.0690561769933,4.56469232183325e-81,2.15145360858805e-77,"SPP1","Up",FALSE
"84985",175.803973125832,5.14530027350279,0.269658541971004,19.0807983900471,3.64646062993917e-81,2.15145360858805e-77,"FAM83A","Up",FALSE
"8676",184.696045198214,-1.97175011300968,0.106320046286152,-18.5454218831213,8.88011696207211e-77,3.34833690171891e-73,"STX11","Down",FALSE
"2118",66.3121837152741,2.96146107439111,0.161465443737619,18.341144741803,3.88528997692108e-75,1.22082286558155e-71,"ETV4","Up",FALSE
"55083",372.979416587559,2.80766422463414,0.153494741436948,18.2915987762842,9.65416149706017e-75,2.60014152434393e-71,"KIF26B","Up",FALSE
"4320",188.449655966355,4.57704612861693,0.252352193840412,18.137532545136,1.61103460123688e-73,3.79660441713987e-70,"MMP11","Up",FALSE
"6712",335.246656323268,2.4832604048331,0.139004798290919,17.8645660823589,2.22656752204615e-71,4.66416416590401e-68,"SPTBN2","Up",FALSE
"54443",166.660165355907,2.83919740415358,0.160703887749372,17.6672602257233,7.49496517543668e-70,1.41302578452508e-66,"ANLN","Up",FALSE
"84262",84.7928271231858,1.32436298771648,0.0752735828648327,17.5939942980343,2.73874544144484e-69,4.61463284154219e-66,"PSMG3","Up",FALSE
"1945",38.2971666964619,1.77195155174456,0.100736131162917,17.5900298263275,2.93722983602112e-69,4.61463284154219e-66,"EFNA4","Up",FALSE
"115908",131.384000413592,3.11587235607327,0.177336453433052,17.5703996316222,4.15237075914024e-69,6.02189584015931e-66,"CTHRC1","Up",FALSE
"56649",336.819808976764,3.75581691017321,0.214384527297681,17.5190670591545,1.02492326438252e-68,1.38020559310025e-65,"TMPRSS4","Up",FALSE
"4192",179.435989970116,2.53216562987798,0.144626952819352,17.5082554151632,1.23934446334384e-68,1.55769074449476e-65,"MDK","Up",FALSE
"9601",1046.8185956864,1.63447831978369,0.0944919029538285,17.2975489823963,4.90831130300013e-67,5.78352456221634e-64,"PDIA4","Up",FALSE
"1063",367.586888755935,2.59578992656281,0.151292186696748,17.1574618837776,5.52771126415371e-66,6.13023179194647e-63,"CENPF","Up",FALSE
"132299",132.581592081117,1.82372382408022,0.106728843828063,17.0874503898701,1.84046625700298e-65,1.92768390795984e-62,"OCIAD2","Up",FALSE
"3017",172.847345821755,1.88261298277608,0.11019593852026,17.0842320330159,1.94486850728385e-65,1.9298213667275e-62,"H2BC5","Up",FALSE
"1917",87.6077723943324,5.56527875824173,0.326516384970901,17.0444088395065,3.84613233836675e-65,3.62555664876142e-62,"EEF1A2","Up",FALSE
"2273",878.401458301156,-2.36740964901406,0.139323907017565,-16.9921279103636,9.39192363094499e-65,8.43171124829552e-62,"FHL1","Down",FALSE
"5832",272.42012648528,1.23737571364249,0.0732761234028833,16.8864789262828,5.65805071567164e-64,4.84869227920715e-61,"ALDH18A1","Up",FALSE
"7153",343.601211212469,2.85998114250108,0.169565110936224,16.8665660448083,7.92729129976066e-64,6.4979662119299e-61,"TOP2A","Up",FALSE
"80078",163.264299107865,5.35933507750198,0.318596131133327,16.821720522586,1.69173502990598e-63,1.32892835495072e-60,"LCAL1","Up",FALSE
"1382",102.953872006102,3.46043749718187,0.208593293862117,16.5893995588816,8.31474511368762e-62,6.2703155851341e-59,"CRABP2","Up",FALSE
"6732",467.17000633658,1.03185782492607,0.0630927008635973,16.3546307386157,4.0314474513085e-60,2.92326456921227e-57,"SRPK1","Up",FALSE
"152007",299.822490973253,-1.72188431168918,0.105470160588486,-16.3257958656902,6.46915265564309e-60,4.51714574136441e-57,"GLIPR2","Down",FALSE
"150696",261.102746936685,2.4976369903216,0.153282885412582,16.2942978506626,1.08340741982005e-59,7.29481431638124e-57,"PROM2","Up",FALSE
"11065",36.0186594791086,3.27608895850432,0.202318961505392,16.1926936265784,5.67872891512703e-59,3.69176124954793e-56,"UBE2C","Up",FALSE
"3149",430.307425062247,2.69327656350448,0.16783714542545,16.0469636008006,6.00298935314738e-58,3.65078575080282e-55,"HMGB3","Up",FALSE
"26472",164.435240301706,1.59779835786859,0.0997269663210124,16.0217282928813,9.01104498205151e-58,5.30891347020679e-55,"PPP1R14B","Up",FALSE
"51280",539.108111183941,1.83005868158479,0.114747029048846,15.9486367251021,2.91184051386149e-57,1.6635433093282e-54,"GOLM1","Up",FALSE
"23328",799.930435256799,-1.17964061112061,0.0741748381320203,-15.9035144643124,5.9907536211845e-57,3.32187288294681e-54,"SASH1","Down",FALSE
"23213",938.800583902339,2.33940391996975,0.147980347015141,15.8088825114756,2.70217430431302e-56,1.45554549026324e-53,"SULF1","Up",FALSE
"4605",73.8280107282207,2.92890145334997,0.18700342725766,15.6622875649997,2.73866707624418e-55,1.43422473301199e-52,"MYBL2","Up",FALSE
"10609",71.2972269641328,1.72031908922831,0.110054418815286,15.6315312710493,4.44003467921895e-55,2.26237767046797e-52,"P3H4","Up",FALSE
"4173",255.078534278302,1.71323868621017,0.109873220541639,15.5928685603686,8.13949943172734e-55,3.93471750734245e-52,"MCM4","Up",FALSE
"10381",90.2449920758062,3.13702466993093,0.201844933905635,15.5417557886171,1.80956928410862e-54,8.32092919836581e-52,"TUBB3","Up",FALSE
"6867",3045.66315452209,-1.27020423569483,0.0817791924024385,-15.5321200708869,2.10310231391723e-54,9.29157033988628e-52,"TACC1","Down",FALSE
"2706",104.684963231539,3.89517951963724,0.250790124594234,15.5316303859231,2.11922518758346e-54,9.29157033988628e-52,"GJB2","Up",FALSE
"55165",52.5690144821968,2.28556661811437,0.147330769398616,15.5131655623855,2.82596180511221e-54,1.21086040708592e-51,"CEP55","Up",FALSE
"105373869",36.225400596868,2.68750182137057,0.173806037453015,15.4626494036323,6.1995293114284e-54,2.59732724685244e-51,"LINC01614","Up",TRUE
"57016",312.96801575398,7.72151101571855,0.499586827514257,15.4557938489645,6.89567728846e-54,2.82617834607253e-51,"AKR1B10","Up",FALSE
"79703",113.464129700081,1.25960336550515,0.0816807149740823,15.4210619471784,1.18145510166827e-53,4.73914319824509e-51,"TOP6BL","Up",FALSE
"445815",2215.03899840091,-1.40333085207916,0.0914563204885039,-15.3442741254342,3.86862408425531e-53,1.51948270542636e-50,"PALM2AKAP2","Down",FALSE
"6711",11834.5266609985,-1.25894451015551,0.0824904946694091,-15.2616918494777,1.37632973230479e-52,5.2954988659474e-50,"SPTBN1","Down",FALSE
"22801",342.089103284563,2.75206625997372,0.180354235431161,15.2592272279857,1.42930990520437e-52,5.38935592856358e-50,"ITGA11","Up",FALSE
"22974",133.747566253769,2.57023664967483,0.168506619128982,15.2530307887043,1.57165336555164e-52,5.80987860798922e-50,"TPX2","Up",FALSE
"64321",41.1214431890761,-2.09712942198017,0.137519807790152,-15.2496535275869,1.65509019377907e-52,6.0006568121763e-50,"SOX17","Down",FALSE
"11130",75.0613296923471,1.85978606520391,0.122015973046739,15.2421524720498,1.85651992982809e-52,6.60395664849982e-50,"ZWINT","Up",FALSE
"10894",215.020236331917,-2.34022324659588,0.153640049871148,-15.2318568534607,2.17330297202899e-52,7.44968744212048e-50,"LYVE1","Down",FALSE
"4288",496.962634868637,2.30475657858942,0.151308774611829,15.2321409283903,2.16387932742683e-52,7.44968744212048e-50,"MKI67","Up",FALSE
"1300",241.073230920522,2.46429605172197,0.162056566998611,15.2063942693731,3.20728666046015e-52,1.07976741802956e-49,"COL10A1","Up",FALSE
"11099",418.046479359677,-1.27492334236342,0.0838483005755068,-15.2051184533589,3.2703867267991e-52,1.08169475369024e-49,"PTPN21","Down",FALSE
"50512",72.9412148304284,2.59706829307884,0.171237222244159,15.1664939377246,5.8942336150674e-52,1.91593079904941e-49,"PODXL2","Up",FALSE
"28984",576.108916012367,-1.82719175584539,0.120531088837809,-15.1595059288324,6.5560653762577e-52,2.09494068709468e-49,"RGCC","Down",FALSE
"891",63.6729723265484,2.13098127199737,0.141104140148309,15.1021881410254,1.56647515794958e-51,4.8414354348891e-49,"CCNB1","Up",FALSE
"81607",215.468905727204,2.00214943548869,0.132640603141722,15.0945441144403,1.75899428951957e-51,5.34876118392137e-49,"NECTIN4","Up",FALSE
