"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","117/2255","339/18805",0.345132743362832,2.87814689088162,12.880786578179,8.26586373599027e-28,2.94917917695742e-24,2.33001492533315e-24,"COL11A1/MMP11/SULF1/P3H4/COL10A1/RGCC/CAV1/COL17A1/TGFBR3/SLC39A8/MMP1/SPOCK2/COL3A1/ABI3BP/MMP13/FERMT1/COL1A1/ADAMTS8/MMP14/RAMP2/FGFR4/COL5A2/FKBP10/FOXF1/ERO1A/ADAMTSL3/FAP/PRDX4/GREM1/FBLN5/PPARG/TNXB/COL5A1/ADAMTS1/MFAP4/MMP9/COL22A1/TIE1/MELTF/POSTN/ITGA8/IL6/SPINT1/MMP12/CAV2/ADAMTS16/LOXL1/COL1A2/COMP/SMOC1/SERPINH1/HAS1/DDR1/FSCN1/COL6A6/SERPINB5/BMP2/ADAMTS14/ADAMTS15/SPINT2/MMP19/ADAM8/MMP7/ADAMTS9/VWA1/ADAMTS4/COL7A1/PLOD2/ITGA2/ADAMTS12/LTBP4/CRISPLD2/SOX9/MMP10/COL18A1/PTX3/TMPRSS6/RXFP1/MMP17/ADTRP/MMP3/P4HA3/COL2A1/COL9A2/TGFBI/LOXL2/NPNT/CTSK/MYH11/WNT3A/NDNF/CPB2/CTSV/WDR72/ZNF469/PRSS2/TNR/COL4A3/MIA/COL6A5/DPP4/COL9A3/ADAMTSL5/TLL2/SFRP2/IBSP/APLP1/KLK4/HPSE2/NOXO1/CTSG/DMP1/ADAMTS19/VIT/IHH/ADAMTS18/COL9A1",117
"GO:0007088","regulation of mitotic nuclear division","42/2255","121/18805",0.347107438016529,2.89461435561012,7.71752375281007,6.03537260162733e-11,8.87350656754258e-08,7.01056175357448e-08,"CENPF/UBE2C/ZWINT/MKI67/RGCC/CCNB1/RCC1/BUB1B/DLGAP5/CDC20/CDCA8/BUB1/BIRC5/NUF2/NEK2/PLK1/AURKB/NUSAP1/TRIP13/PKMYT1/KNTC1/CDCA2/SPC24/AURKA/CHEK1/CAV2/NDC80/TTK/MAD2L1/KNL1/DUSP1/TGFA/ESPL1/SKA1/EDN1/SPC25/SKA3/EGF/IL1B/CDC25C/EDN3/HOXA13",42
"GO:0061138","morphogenesis of a branching epithelium","56/2255","191/18805",0.293193717277487,2.44501456913665,7.40915106967827,9.11771849218896e-11,1.07242604905127e-07,8.47275987884675e-08,"MDK/SULF1/MAGED1/LGR4/SLIT2/TIMELESS/TCF21/RASIP1/MMP14/FOXF1/FGF2/GREM1/SIX4/TIE1/SPINT1/SOCS3/GRHL2/ST14/ADAMTS16/DLG5/DDR1/HOXA5/BMP2/RSPO2/SPINT2/SIX1/TMEM59L/TBX3/GPC3/FGF10/TBX2/HHIP/SOX9/EDN1/NOTCH4/PKHD1/PGR/HOXB7/NPNT/TP63/EGF/HS3ST3A1/MYCN/GREB1L/TNC/SFRP2/SFRP1/SIX2/AGTR2/HOXB13/CAV3/CASR/IHH/LHX1/SALL1/HOXA13",56
"GO:0001763","morphogenesis of a branching structure","59/2255","208/18805",0.283653846153846,2.36545923588607,7.30951154854629,1.24915843004088e-10,1.22438345451173e-07,9.67330756175513e-08,"MDK/SULF1/MAGED1/LGR4/SLIT2/TIMELESS/TCF21/RASIP1/MMP14/FOXF1/FGF2/GREM1/SIX4/TIE1/SPINT1/SOCS3/GRHL2/ST14/ADAMTS16/DLG5/DDR1/HOXA5/BMP2/LRRK2/RSPO2/SPINT2/SIX1/TMEM59L/TBX3/GPC3/FGF10/TBX2/SHOX2/HHIP/SOX9/EDN1/NOTCH4/PKHD1/PGR/HOXB7/BCL11A/NPNT/TP63/EGF/HS3ST3A1/MYCN/GREB1L/TNC/SFRP2/SFRP1/SIX2/AGTR2/HOXB13/CAV3/CASR/IHH/LHX1/SALL1/HOXA13",59
"GO:0072001","renal system development","82/2255","336/18805",0.244047619047619,2.03517316017316,7.06741097362699,1.61356806014324e-10,1.3556276802432e-07,1.07102096503342e-07,"KIF26B/CENPF/SULF1/SOX17/MAGED1/TEK/PECAM1/LGR4/SLIT2/SOX4/STRA6/TCF21/CAT/EDNRB/FOXF1/FGF2/GCNT3/TFAP2A/GREM1/SIX4/ADAMTS1/CXCR2/SDC1/MMP9/HELLS/ITGA8/EPCAM/EZH2/PTK7/ADAMTS16/DLG5/ACE/FADD/WNT7B/CRLF1/ANGPT1/MME/CD24/BMP2/LRRK2/SIX1/TMEM59L/RBP4/OVOL1/GPC3/SMAD6/FGF10/AGTR1/SOX9/EDN1/BASP1/SOX11/MMP17/EGR1/ZBTB16/PKHD1/GFRA1/KLF15/HOXB7/NPNT/BMPER/HS3ST3A1/UPK3A/ALDH1A2/GREB1L/COL4A3/RET/PCSK9/MYOCD/CYP26A1/SFRP1/PROM1/WNK4/HOXC11/CALB1/SIX2/AGTR2/ADIPOQ/HMGCS2/TFAP2B/LHX1/SALL1",82
"GO:0048732","gland development","101/2255","451/18805",0.223946784922395,1.86754735719097,6.88359790436936,2.50267178351478e-10,1.8397765948563e-07,1.45352542795187e-07,"MDK/SULF1/NME1/CAV1/TGFBR3/IQGAP3/STRA6/TCF21/XDH/CCNB2/SOCS2/FOXF1/FGF2/SIX4/CDO1/TYMS/IL6/AURKA/EZH2/LSR/LIMS2/ID4/ONECUT1/SRD5A1/FADD/PITX1/FA2H/WNT7B/DDR1/GATA2/HOXA5/EPHB3/SERPINB5/CDH1/BMP2/SIX1/GATA6/WNT3/E2F8/TBX3/PCNA/TUBB1/FGF10/PERP/TGFA/ONECUT2/TBX2/SLC7A5/CEACAM1/ITGA2/IRF6/SOX9/FGL1/SERPINE2/EDN1/NOTCH4/RXFP1/SOX2/WNT10A/PITX2/SLC6A3/UGT1A7/PGR/MESP1/TNFSF11/PCSK1/CPS1/E2F7/UGT1A10/UGT1A1/TP63/WNT3A/EGF/CPB2/ALDH1A2/HOXA10/TNC/FOXE1/POU3F2/NRG3/PCSK9/CYP19A1/FOXI3/OTC/HOXB9/SFRP1/DNAAF1/SOSTDC1/HNF1A/FOXB1/NR0B1/BAAT/HOXB13/ISL1/AIRE/HMGCS2/CAV3/IHH/ASCL1/SALL1/HOXA13",101
"GO:0006959","humoral immune response","76/2255","309/18805",0.245954692556634,2.05107671553326,6.87660600140808,5.13007894866693e-10,2.74272675428275e-07,2.16690607458525e-07,"RGCC/TNFRSF21/KRT6A/EXO1/H2BC8/FCN3/IL6/GAPDH/VSIG4/CD5L/CXCL2/CCL23/H2BC12/H2BC11/CAMP/A2M/H2BC21/CXCL13/GATA6/H2BC7/CCL2/SLC11A1/H2BC4/CD83/CXCL3/CFD/MMP7/CXCL14/PF4/WFDC2/CFP/C7/H2BC6/FCN1/PLA2G1B/H2BC10/C8B/ZP3/IFNE/PGLYRP4/C6/WFDC3/COLEC10/GNLY/SLPI/VIP/SUSD4/PRSS2/POU2AF1/PPBP/IL1B/WFDC10B/IL36RN/DEFA3/CCL24/CCL14/S100A12/CCL19/MASP1/DMBT1/PGLYRP3/FGB/LTF/PI3/C4BPB/DEFB1/CALCA/CTSG/WFDC13/LGALS4/DEFA1/AIRE/BPIFA1/WFDC12/CR2/CXCL6",76
"GO:0006334","nucleosome assembly","39/2255","120/18805",0.325,2.71025498891353,6.93752135863905,2.55691558894325e-09,1.25310171488127e-06,9.90019772771536e-07,"H3C15/H1-0/MCM2/H2BC8/H2BC17/H2AX/H2BC11/H3C2/H4C15/H2BC21/H2BC7/PADI4/H2BC4/H2BC14/H1-5/H2BC15/H3C10/H3C3/H2BC13/H3C4/ASF1B/H2BC9/H3C11/SOX9/H3C13/H2BC6/CHAF1B/H3C12/H4C14/H2BC10/H3C7/H4C12/H1-3/H2BC3/H3C8/H3C6/H1-6/H4C11/H4C4",39
"GO:0051216","cartilage development","56/2255","210/18805",0.266666666666667,2.22379896526238,6.58295722291709,4.4488401999431e-09,1.90928027189217e-06,1.50843718310206e-06,"COL11A1/MDK/SULF1/ACVRL1/COL3A1/MMP13/COL1A1/HMGA2/FGF2/GREM1/BARX2/TYMS/RUNX2/TSKU/COMP/SERPINH1/PITX1/WNT7B/HOXA5/CCN4/BMP8A/BMP2/RSPO2/ARID5A/RFLNA/OGN/TIMP1/SHOX2/HYAL1/ADAMTS12/BGN/SOX9/ECM1/PRKG2/EDN1/PTHLH/ZBTB16/ITGB8/COL2A1/MUSTN1/TGFBI/GHR/SATB2/LOXL2/CNMD/CTSK/MYCN/WNT7A/SNORC/CHI3L1/HOXC4/NKX3-2/SFRP2/SIX2/IHH/LEP",56
"GO:0051783","regulation of nuclear division","44/2255","147/18805",0.299319727891156,2.49610087937614,6.72181253934796,4.54513242756171e-09,1.90928027189217e-06,1.50843718310206e-06,"CENPF/UBE2C/ZWINT/MKI67/RGCC/CCNB1/RCC1/BUB1B/DLGAP5/CDC20/CDCA8/BUB1/BIRC5/NUF2/NEK2/PLK1/AURKB/NUSAP1/TRIP13/PKMYT1/KNTC1/CDCA2/SPC24/AURKA/CHEK1/CAV2/NDC80/HORMAD1/TTK/MAD2L1/KNL1/RAD51AP1/DUSP1/TGFA/ESPL1/SKA1/EDN1/SPC25/SKA3/EGF/IL1B/CDC25C/EDN3/HOXA13",44
