"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","collagen-containing extracellular matrix","139/2398","432/19880",0.321759259259259,2.6674620825997,12.9773693649126,6.03936914691692e-29,3.65985770303165e-26,2.90525442120109e-26,"COL11A1/CTHRC1/MDK/SULF1/COL10A1/COL17A1/COL3A1/ABI3BP/THBS2/PKM/COL1A1/ADAMTS8/LAD1/COL5A2/MMRN2/MXRA5/MYOC/GREM1/MFAP2/FBLN5/TNXB/COL5A1/CLEC3B/ADAMTS1/MFAP4/FCN3/MMP9/COL22A1/MARCO/COLEC12/POSTN/ITGB4/SPN/PODNL1/LOXL1/COL1A2/ITIH5/LAMB3/COMP/LRRC15/VWF/SMOC1/CLEC14A/SERPINH1/TIMP3/COL6A3/A2M/ANGPT1/SBSPON/COL6A6/ADAMTS15/GDF10/ADAMTS9/VWA1/GPC3/SRPX/FGF10/PF4/ADAMTS4/COL7A1/S100A4/MMRN1/VCAN/OGN/PLOD2/TIMP1/P3H2/BGN/ADAMTSL4/LTBP4/CFP/ECM1/GPC5/SPARCL1/FGL1/PTPRZ1/SERPINE2/FCN1/COL18A1/SPOCK1/ANGPT4/DCN/LAMC2/PRG4/ZP3/COL2A1/COL9A2/TGFBI/CPA3/EFNA5/ENTPD2/ICAM1/LOXL2/NPNT/L1CAM/PZP/CILP/EGFL7/SLPI/FREM3/LAMC3/FREM1/ADAMDEC1/ASPN/ACHE/TINAG/GPC2/TNR/SNORC/COL4A3/COCH/TNC/ESM1/ANGPTL5/BCAN/COL6A5/IGFBPL1/COL9A3/AMBP/F12/SFRP2/APLP1/SFRP1/AZGP1/FGB/GDF15/SERPINA5/THBS4/ACAN/FBN2/MUC2/CTSG/LGALS4/DEFA1/ADIPOQ/INHBE/VIT/HAPLN1/COL9A1",139
"GO:0000786","nucleosome","50/2398","135/19880",0.37037037037037,3.0704599511939,8.93987503043186,6.58887506317803e-14,1.99642914414294e-11,1.58479784414335e-11,"H2BC5/H3C15/H1-0/H2AC13/H2BC8/H2AC6/H2AC18/H2BC17/H2AX/H2AC17/H2AC12/H2BC12/H2BC11/H2AC16/H3C2/H4C15/H2BC21/H2BC7/H2BC4/H2BC14/H1-5/CENPA/H2BC15/H2AC7/H3C10/H3C3/H2AC11/H2BC13/H3C4/H2BC9/H3C11/H2AC15/H3C13/H2BC6/H2AC25/H3C12/H4C14/H2BC10/H3C7/H2AC4/H4C12/H2AC8/H1-3/H2BC3/H3C8/H3C6/H1-6/H4C11/H4C4/H2AC19",50
"GO:0005581","collagen trimer","36/2398","86/19880",0.418604651162791,3.47033380530287,8.50284735246713,3.10956478961413e-12,6.28132087502055e-10,4.98621441703038e-10,"COL11A1/CTHRC1/COL10A1/COL17A1/COL3A1/CCBE1/COL1A1/COL5A2/COL5A1/FCN3/COL22A1/GLDN/MARCO/SFTPA1/COLEC12/MSR1/C1QTNF6/SFTPA2/COL1A2/COL6A3/COL6A6/C1QTNF7/COL7A1/FCN1/COL18A1/SFTPD/COL2A1/COL9A2/COLEC10/C1QTNF2/COL4A3/COL6A5/COL9A3/ADIPOQ/C1QL2/COL9A1",36
"GO:0016324","apical plasma membrane","95/2398","413/19880",0.230024213075061,1.90695636194003,6.89823843047471,2.67810054467517e-10,4.05732232518289e-08,3.22076828662251e-08,"SPTBN2/PROM2/PALM2AKAP2/CAV1/SLC2A1/SAPCD2/EMP2/TEK/ADRB2/PTPRH/SLC39A8/CLIC5/ASPM/AGER/SHROOM4/NHS/STK39/PTPRQ/CEACAM5/CD36/DSG2/CD300LG/FXYD1/GPIHBP1/EPCAM/ABCC2/CA4/MUC13/LRRC15/CYBRD1/DUOX1/SLC67A1/SLC39A4/KCNK1/ABCB1/CLDN4/SLC7A5/P2RY6/SLC29A4/SLC9A3/CEACAM1/SLC4A11/SLC1A1/CA12/ECRG4/THY1/ATP1B1/SLC6A8/PRKG2/MUC20/SLC15A1/SLC14A2/SLC2A5/KL/MYO7A/PKHD1/CEACAM7/ADCY8/ATP6V0A4/CDHR2/IGFBP2/KCNE1/MAL/AQP5/SLC9A2/CTSK/SLC52A3/GJB6/UPK3A/TRPM6/ACY3/MGAM/AQP6/ZMYND10/PDZK1IP1/P2RX2/DPP4/CNTFR/GPR143/CEACAM6/SLCO1A2/SLC16A8/SLC9A4/NPC1L1/PROM1/GABRP/AJM1/DPEP1/LCT/SLC5A12/SLC5A8/ABCB5/SLC22A8/CASR/SLC38A3",95
"GO:0009897","external side of plasma membrane","92/2398","401/19880",0.229426433915212,1.90200062812111,6.75805926122109,5.91341778068471e-10,7.16706235018987e-08,5.68933037004824e-08,"ITGA11/S1PR1/TGFBR3/PECAM1/P4HB/CDH5/PLAU/IL3RA/BTNL9/CXCR2/SDC1/CD36/FCN3/IL1RL1/GPIHBP1/ITGA8/SPN/CXCR1/ADGRE1/LEPR/ST14/LDLR/THBD/SCUBE1/CA4/CLEC14A/ACE/CRLF1/CD24/FCGR3B/CD83/MUC16/SLC4A3/SELE/GRIA1/ABCB1/RS1/NT5E/SLC7A5/AQP4/F10/ITGA2/VTCN1/SLC1A1/CLEC4E/THY1/TRPM8/SELP/MS4A2/FCN1/LIFR/RTN4RL2/TNFRSF18/CSF3R/IL31RA/PKHD1/FCRL5/IL2RA/GFRA1/EFNA5/FOLR3/GHR/CD79A/ICAM1/COLEC10/TLR8/CTSK/TFR2/KLRD1/BTNL8/CLEC4D/GFRA3/IL5RA/GFRA2/CNTFR/PCSK9/DNAI2/CLEC4M/BTNL3/UMODL1/AZGP1/CLEC6A/FGB/CD1A/SERPINA5/IL13/CCR8/LCT/TNFRSF13C/FCRL2/FCRLA/CD19",92
"GO:0032993","protein-DNA complex","63/2398","240/19880",0.2625,2.17618849040867,6.78950484732044,1.26073734291915e-09,1.09143832829858e-07,8.66401452201583e-08,"H2BC5/MCM4/GINS1/HMGA2/H3C15/TONSL/H1-0/H2AC13/MCM2/CDC45/H2BC8/H2AC6/H2AC18/H2BC17/H2AX/H2AC17/H2AC12/H2BC12/H2BC11/H2AC16/JUP/H3C2/H4C15/H2BC21/H2BC7/H2BC4/PCNA/H2BC14/H1-5/CENPA/GINS4/H2BC15/H2AC7/FOS/H3C10/H3C3/H2AC11/H2BC13/H3C4/H2BC9/H3C11/H2AC15/H3C13/H2BC6/H2AC25/H3C12/H4C14/H2BC10/H3C7/GINS2/H2AC4/H4C12/H2AC8/H1-3/H2BC3/H3C8/H3C6/H1-6/TERT/H4C11/H4C4/SLC5A8/H2AC19",63
"GO:0045177","apical part of cell","102/2398","479/19880",0.21294363256785,1.76535421828559,6.27978069414873,5.26206119695064e-09,3.98601135669011e-07,3.16416048290322e-07,"SPTBN2/PROM2/PALM2AKAP2/CAV1/SLC2A1/SAPCD2/EMP2/TEK/ADRB2/PTPRH/SLC39A8/CLIC5/ASPM/AGER/SHROOM4/SLC7A11/NHS/FAP/STK39/C5AR1/PTPRQ/CEACAM5/CD36/DSG2/CD300LG/FXYD1/GPIHBP1/ITGA8/EPCAM/ABCC2/LDLR/CA4/MUC13/LRRC15/CYBRD1/DUOX1/SLC67A1/SLC39A4/KCNK1/ABCB1/CLDN4/SLC7A5/P2RY6/SLC29A4/SLC9A3/CEACAM1/SLC4A11/SLC1A1/CA12/ECRG4/THY1/ATP1B1/SLC6A8/PRKG2/MUC20/SLC15A1/SLC14A2/SLC2A5/MYO7B/KL/MYO7A/PKHD1/CEACAM7/ADCY8/ATP6V0A4/CDHR2/IGFBP2/KCNE1/MAL/AQP5/SLC9A2/CTSK/SLC52A3/GJB6/UPK3A/TRPM6/ACY3/MGAM/AQP6/ZMYND10/PDZK1IP1/P2RX2/DPP4/CNTFR/GPR143/CEACAM6/SLCO1A2/SLC16A8/SLC9A4/NPC1L1/PROM1/GABRP/AJM1/DPEP1/LCT/SLC5A12/SLC5A8/ABCB5/USH1C/SLC22A8/CASR/SLC38A3",102
"GO:0005796","Golgi lumen","35/2398","106/19880",0.330188679245283,2.73734401309267,6.64228931490401,1.22086781923933e-08,8.22050998287812e-07,6.52557419172364e-07,"MMP11/PODXL2/MMP14/F8/ERO1A/SDC1/MUC5B/MUC13/WNT7B/WNT3/MUC16/GPC3/MUC21/VCAN/OGN/F10/BGN/GPC5/MUC20/MUC4/MUC3A/DCN/PROC/AGRP/WNT3A/WNT7A/GPC2/DEFA3/BCAN/MUC6/MUC5AC/ACAN/MUC2/DEFB1/DEFA1",35
"GO:0000940","outer kinetochore","13/2398","20/19880",0.65,5.38865721434529,7.27249338169123,3.77561284382471e-08,2.28802138335778e-06,1.81626849434515e-06,"CENPF/ZWINT/CCNB1/BUB1B/BUB1/NUF2/PLK1/SPC24/NDC80/KNL1/SKA1/SPC25/SKA3",13
"GO:0045178","basal part of cell","70/2398","317/19880",0.220820189274448,1.83065277847207,5.52150823242818,3.13426805829146e-07,1.72669676665875e-05,1.37067990683177e-05,"PROM2/CAV1/SLC2A1/TEK/TGFBR3/SLC39A8/CA9/DSP/ABCC3/SHROOM4/PLPP3/ABCA8/FAP/STK39/C5AR1/PTPRQ/CEACAM5/CD300LG/GPIHBP1/ITGB4/AURKA/EPCAM/LEPR/ST14/LDLR/ACE/HOMER3/LIN7A/SLC4A1/AQP9/SLCO2A1/TGFA/CLDN4/SLC7A5/P2RY6/AQP4/SLC29A4/CEACAM1/ITGA2/SLC4A11/CA12/ATP1B1/SLCO1B3/GKN2/MUC20/EDN1/SLCO1B3-SLCO1B7/EPPK1/CDH17/ALPK2/SLC51B/PLEKHG4B/VSIG1/ADCY8/ATP6V0A4/AQP5/RHBG/KRT14/SLCO1B1/AQP3/TSHR/SLC14A1/SLCO1A2/SLC16A8/SLC9A4/MLC1/SLC22A8/CASR/SLC38A3/CLCA2",70
