"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","structural constituent of chromatin","51/2320","98/18639",0.520408163265306,4.18098610133709,11.9043341096839,2.54675730495605e-21,3.08666985360673e-18,2.61109643687073e-18,"H2BC5/H3C15/HMGA1/H1-0/H2AC13/H2BC8/H2AC6/H2AC18/H2BC17/H2AX/H2AC17/H2AC12/H2BC12/H2BC11/H2AC16/H3C2/H4C15/H2BC21/H2BC7/H2BC4/H2BC14/H1-5/CENPA/H2BC15/H2AC7/H3C10/H3C3/H2AC11/H2BC13/H3C4/H2BC9/H3C11/H2AC15/H3C13/H2BC6/H2AC25/H3C12/H4C14/H2BC10/H3C7/H2AC4/H4C12/H2AC8/H1-3/H2BC3/H3C8/H3C6/H1-6/H4C11/H4C4/H2AC19",51
"GO:0005201","extracellular matrix structural constituent","67/2320","168/18639",0.398809523809524,3.20405634236453,10.8200434270372,1.90471886321816e-19,1.15425963111021e-16,9.76419038302363e-17,"COL11A1/CTHRC1/COL10A1/COL17A1/COL3A1/ABI3BP/THBS2/COL1A1/COL5A2/MMRN2/MXRA5/ANOS1/MFAP2/FBLN5/TNXB/COL5A1/MFAP4/COL22A1/POSTN/PODNL1/COL1A2/LAMB3/COMP/VWF/COL6A3/SBSPON/COL6A6/VWA1/SRPX/COL7A1/MMRN1/VCAN/OGN/BGN/LTBP4/TUFT1/ECM1/MUC4/MUC3A/COL18A1/SPOCK1/DCN/LAMC2/PRG4/ZP3/COL2A1/COL9A2/TGFBI/NPNT/CILP/ASPN/COL4A3/CHI3L1/TNC/ESM1/MUC6/COL6A5/MUC5AC/COL9A3/TFPI2/FGB/ACAN/FBN2/DSPP/ADIPOQ/HAPLN1/COL9A1",67
"GO:0005539","glycosaminoglycan binding","75/2320","242/18639",0.309917355371901,2.48989206326589,8.79601295636544,1.72364312156675e-14,6.96351821112968e-12,5.89062596633690e-12,"COL11A1/MDK/SULF1/LYVE1/PODXL2/TGFBR3/SPOCK2/SLIT2/THBS2/ADAMTS8/FGFR4/FGF2/HMMR/ANOS1/TNXB/COL5A1/CLEC3B/ADAMTS1/SLIT3/TMEM184A/HBEGF/POSTN/CCL23/SEMA5A/LPL/CEMIP/AOC1/COMP/SMOC1/NELL1/RSPO1/CCN4/ADAMTS15/CXCL13/RSPO2/FGF10/PF4/VCAN/NLRP3/BGN/LTBP4/CRISPLD2/SELP/PCOLCE2/SERPINE2/PGF/HABP2/DCN/LAMC2/F11/PGLYRP4/CCN5/NDNF/BCAN/RSPO4/GFRA2/ADAMTSL5/AMBP/APLP1/SFRP1/DMBT1/PGLYRP3/LTF/SERPINA5/THBS4/CEL/NRTN/ACAN/FGFBP1/CTSG/MPO/VIT/HAPLN1/LPA/CXCL6",75
"GO:0004867","serine-type endopeptidase inhibitor activity","37/2320","95/18639",0.389473684210526,3.12905172413793,7.84410106877987,5.14711371529917e-11,1.55957545573565e-08,1.31928651544773e-08,"SPINK1/ANOS1/SPINT1/ITIH5/SERPINH1/COL6A3/A2M/SERPINB5/SPINT2/COL7A1/WFDC1/WFDC2/SLCO1B3/SERPINE2/SLCO1B3-SLCO1B7/SPOCK1/SPINK13/WFDC3/PZP/A2ML1/SLPI/SERPINB4/SERPINB3/WFDC10B/AMBP/TFPI2/SERPINB13/SERPINA5/SERPINA9/PCSK1N/PI3/WFDC13/WFIKKN2/ITIH6/WFDC12/WFDC6/EPPIN",37
"GO:0046982","protein heterodimerization activity","91/2320","369/18639",0.246612466124661,1.98129730866274,7.17862706623378,6.58815047599935e-11,1.59696767538224e-08,1.35091759234176e-08,"H2BC5/TOP2A/CAV1/EPAS1/RCC1/P4HB/PAFAH1B3/BIRC5/H3C15/H2AC13/H2BC8/AOC3/TENM4/JDP2/H2AC6/AURKA/H2AC18/H2BC17/H2AX/H2AC17/CAV2/H2AC12/H2BC12/ADRB1/H2BC11/H2AC16/ATF3/H3C2/H4C15/H2BC21/H2BC7/H2BC4/H2BC14/KCNK1/CENPA/H2BC15/H2AC7/H3C10/H3C3/H2AC11/H2BC13/H3C4/AGTR1/H2BC9/H3C11/ATP1B1/ADRA1A/H2AC15/H3C13/UGT1A6/H2BC6/NR4A1/H2AC25/H3C12/KCNK3/SLC51B/H4C14/H2BC10/H3C7/UGT1A7/PGLYRP4/ADCY8/H2AC4/TUBB2B/KCNK5/H4C12/H2AC8/NR4A2/SIM2/UGT1A10/BCL11A/UGT1A1/UGT1A3/H2BC3/H3C8/UGT1A4/UGT1A5/H3C6/ABTB3/ATP1A2/CEACAM6/PGLYRP3/HNF1A/FZD9/CEACAM8/H4C11/H4C4/H2AC19/SYT5/TFAP2B/SOHLH2",91
"GO:0030246","carbohydrate binding","73/2320","280/18639",0.260714285714286,2.09459205665025,6.9583083778234,3.62493574145931e-10,6.27631731235526e-08,5.3093043792201e-08,"GALNT7/CD93/CLEC1A/SORD/ITLN2/CLEC3B/FCN3/NECTIN1/SFTPA1/COLEC12/EGLN3/FAM3C/SFTPA2/GALNT14/CEMIP/OLR1/MRC1/ADGRL2/CLEC14A/GALNT6/CD69/SELE/LGALSL/G6PD/VCAN/PLOD2/P3H2/FBP1/CLEC4E/SELP/CLEC11A/FCN1/PTX3/PRG4/CHODL/ZP3/HK3/SLC2A5/SFTPD/P3H3/P4HA3/CLEC12A/SIGLEC11/ITLN1/LOXL2/SIGLEC6/COLEC10/KLRF1/FREM1/KLRD1/CHI3L2/HKDC1/CLEC4D/FBXO2/MGAM/CHI3L1/GALNT16/BCAN/CRYBG2/ADGRL3/AMBP/CLEC9A/CLEC4M/ZG16B/MAG/CLEC6A/DCDC1/ACAN/CLEC1B/LGALS4/COL9A1/LGALS9B/PPP1R3A",73
"GO:0005178","integrin binding","48/2320","161/18639",0.298136645962733,2.39524523452559,6.70398261532103,3.66458254860349e-09,4.03770368082494e-07,3.41560134195197e-07,"SPP1/ITGA11/EMP2/COL3A1/P4HB/FERMT1/JAM2/ADAMTS8/MMP14/PLPP3/FGF2/FAP/FBLN5/TNXB/COL5A1/ITGB4/ITGA8/SLC6A4/SVEP1/COMP/VWF/CCN4/FRMD5/ITGA2/LTBP4/THY1/SELP/PTPRZ1/ACTN2/CDH17/ISG15/ITGB8/TGFBI/GFRA1/ICAM1/NPNT/CCN5/ICAM4/IL1B/COL4A3/TNC/ESM1/SFRP2/IBSP/TSPAN8/THBS4/DMP1/CASR",48
"GO:0004252","serine-type endopeptidase activity","49/2320","176/18639",0.278409090909091,2.23675303683386,6.21562864432467,2.96891578723718e-08,2.76794302625497e-06,2.3414769042664e-06,"MMP11/TMPRSS4/RHBDL2/MMP1/MMP13/TMPRSS11E/PLAU/MMP14/FAP/MMP9/ST14/MMP12/RHBDL1/OVCH1/MMP19/CFD/OVCH2/ADAM8/MMP7/PRSS22/F10/TMPRSS13/MMP10/HABP2/KLK6/PROC/TMPRSS6/F11/KLK8/MMP3/PCSK1/KLK12/CTSK/CTSV/PRSS2/DPP4/PCSK9/TMPRSS11A/F12/TLL2/MASP1/KLK4/LTF/PRSS50/CTSG/TMPRSS11D/CTRB1/KLK14/LPA",49
"GO:0031406","carboxylic acid binding","51/2320","187/18639",0.272727272727273,2.19110501567398,6.17228553493101,3.27800442890619e-08,2.83781526273879e-06,2.40058369455235e-06,"COL11A1/MDK/CRABP2/FABP4/AKR1C2/PPARG/TYMS/EGLN3/PC/GCLC/CYP27C1/SELE/AKR1C1/PLOD2/P3H2/AKR1C3/SLC1A1/FFAR4/SELP/FCN1/PLA2G1B/GRIN2D/ALOX5AP/CYP4F11/ACOXL/UGT1A7/P3H3/P4HA3/SIGLEC11/FOLR3/CPS1/UGT1A1/UGT1A3/SIGLEC6/RBP2/GFRA2/GRIN1/AMBP/GPR143/GLRA3/CYP26A1/DMBT1/MAG/SERPINA5/LRAT/NRTN/HNF4A/ALB/ADIPOQ/CRABP1/CYP2W1",51
"GO:0017171","serine hydrolase activity","53/2320","198/18639",0.267676767676768,2.1505289968652,6.13669875724169,3.52287955162689e-08,2.84648667771453e-06,2.40791907598919e-06,"MMP11/TMPRSS4/RHBDL2/MMP1/MMP13/TMPRSS11E/PLAU/MMP14/FAP/MMP9/ST14/MMP12/ACE/RHBDL1/OVCH1/MMP19/CFD/OVCH2/ADAM8/MMP7/DPP6/PRSS22/F10/TMPRSS13/MMP10/HABP2/KLK6/PROC/TMPRSS6/F11/KLK8/MMP3/PCSK1/KLK12/CTSK/CTSV/PRSS2/ACHE/DPP4/PCSK9/TMPRSS11A/F12/TLL2/MASP1/KLK4/LTF/PRSS50/CTSG/TMPRSS11D/DPP10/CTRB1/KLK14/LPA",53
