"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","51/1200","143/9376",0.356643356643357,2.78657342657343,8.2475183560039,1.58421169839539e-12,3.78558556345958e-10,3.29537005369842e-10,"H2BC5/H3C15/H2AC13/H2BC8/H2AC6/H2AC18/H2BC17/H2AX/H2AC17/H2AC12/H2BC12/H2BC11/H2AC16/H2AC14/H3C2/H4C15/H2BC21/FCGR3B/H2BC7/H2BC4/H2BC14/H2BC15/H2AC7/H3C10/H3C3/H2AC11/H2BC13/H3C4/H2BC9/H3C11/C7/H2AC15/H3C13/H2BC6/H2AC25/H3C12/H4C14/H2BC10/C8B/H3C7/H2AC4/H4C12/H2AC8/C6/H2BC3/H3C8/H3C6/H4C11/H4C4/CTSG/H2AC19",51
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","62/1200","195/9376",0.317948717948718,2.48423931623932,8.02383636576275,2.22028478795283e-12,3.78558556345958e-10,3.29537005369842e-10,"H2BC5/AGER/H3C15/H2AC13/C5AR1/H2BC8/H2AC6/NCF2/FPR2/H2AC18/H2BC17/H2AX/H2AC17/FPR1/H2AC12/H2BC12/H2BC11/H2AC16/CAMP/VWF/H2AC14/H3C2/H4C15/H2BC21/FCGR3B/H2BC7/PADI4/H2BC4/AQP9/H2BC14/H2BC15/H2AC7/H3C10/H3C3/H2AC11/H2BC13/H3C4/H2BC9/H3C11/SELP/H2AC15/H3C13/H2BC6/H2AC25/H3C12/H4C14/H2BC10/H3C7/H2AC4/H4C12/H2AC8/TLR8/H2BC3/H3C8/H3C6/FGB/H4C11/H4C4/PRKCG/CTSG/MPO/H2AC19",62
"Human Diseases","Substance dependence","hsa05034","Alcoholism","58/1200","191/9376",0.303664921465969,2.3726352530541,7.34240053013962,9.18438731464853e-11,1.04395869143172e-08,9.0877095534417e-09,"H2BC5/H3C15/H2AC13/MAOB/H2BC8/H2AC6/H2AC18/GNG11/H2BC17/H2AX/H2AC17/H2AC12/H2BC12/H2BC11/H2AC16/H2AC14/H3C2/H4C15/H2BC21/H2BC7/H2BC4/H2BC14/H2BC15/H2AC7/H3C10/H3C3/FOSB/H2AC11/H2BC13/H3C4/H2BC9/H3C11/H2AC15/H3C13/SHC3/H2BC6/BDNF/GRIN2D/H2AC25/H3C12/H4C14/H2BC10/H3C7/SLC6A3/H2AC4/H4C12/H2AC8/H2BC3/H3C8/H3C6/NTRK2/GRIN1/GNB3/GNG4/H4C11/H4C4/CALML6/H2AC19",58
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","34/1200","89/9376",0.382022471910112,2.98486891385768,7.20767059729451,1.05573053273466e-09,9.00010279156298e-08,7.8346318481888e-08,"SPP1/ITGA11/THBS2/COL1A1/HMMR/TNXB/SDC1/CD36/ITGB4/ITGA8/COL1A2/LAMB3/COMP/VWF/COL6A3/COL6A6/ITGA2/LAMC2/ITGB8/COL2A1/COL9A2/NPNT/LAMC3/FREM1/TNR/COL4A3/TNC/COL6A5/COL9A3/IBSP/THBS4/DSPP/DMP1/COL9A1",34
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","58/1200","233/9376",0.248927038626609,1.94494992846924,5.59562004082884,2.78652460248527e-07,1.90040977889496e-05,1.65431565873863e-05,"COL11A1/SPTBN2/FHL1/SPTBN1/ITGA11/TNNC1/COL3A1/THBS2/DSP/COL1A1/SGCG/COL5A2/ENO1/COL5A1/SDC1/TMOD1/DSG2/ITGB4/ITGA8/COL1A2/COMP/SYNE1/ANKRD1/COL6A3/JUP/COL6A6/DES/TTN/NEBL/VCAN/ITGA2/BGN/FHL2/TNNT1/ATP1B1/MYL1/ACTN2/MYH2/DCN/ITGB8/COL9A2/DSC2/NEB/MYH11/COL4A3/COL6A5/COL9A3/ATP1A2/MYH1/TRIM54/THBS4/MYBPC1/FBN2/MYOM3/TRIM63/MYL4/COL9A1/LMOD2",58
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","32/1200","103/9376",0.310679611650485,2.42744336569579,5.58050098037905,8.72243563652129e-07,4.72567212609411e-05,4.11371983194486e-05,"COL11A1/COL10A1/COL17A1/COL3A1/COL1A1/COL5A2/COL5A1/COL22A1/COL1A2/COL6A3/MME/COL6A6/KCNN4/COL7A1/SLC9A3/SLC1A1/ATP1B1/SLC15A1/COL18A1/COL2A1/COL9A2/KCNK5/CPA3/CPB2/PRSS2/COL4A3/COL6A5/DPP4/COL9A3/ATP1A2/CTRB1/COL9A1",32
NA,NA,"hsa04518","Integrin signaling","42/1200","154/9376",0.272727272727273,2.13090909090909,5.42102383154662,9.70079322072104e-07,4.72567212609411e-05,4.11371983194486e-05,"SPP1/ITGA11/THBS2/FERMT1/COL1A1/ARHGEF6/VEGFD/TNXB/ITGB4/ITGA8/RAC3/LIMS2/COL1A2/LAMB3/COMP/VWF/COL6A3/COL6A6/CDH1/ITGA2/PGF/LAMC2/ITGB8/COL2A1/COL9A2/ICAM1/NPNT/EGF/LAMC3/FREM1/ICAM4/TNR/COL4A3/TNC/COL6A5/COL9A3/IBSP/FGB/THBS4/DSPP/DMP1/COL9A1",42
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","41/1200","158/9376",0.259493670886076,2.02751054852321,4.99002016330154,5.14747545119835e-06,0.00021941114110733,0.000190998431215518,"MCM4/CCNB1/BUB1B/CDC20/BUB1/CCNB2/CDC6/PLK1/AURKB/CDT1/TRIP13/MCM2/PKMYT1/GADD45B/CDC45/ORC6/CCNA2/CDCA5/CDK1/CHEK1/NDC80/PTTG1/TICRR/TTK/MAD2L1/KNL1/PCNA/ORC1/ESPL1/E2F1/ESCO2/CDKN2A/CCNE1/SMC1B/DDX11/CCNE2/SGO1/SFN/E2F2/CDC25A/CDC25C",41
"Organismal Systems","Digestive system","hsa04976","Bile secretion","27/1200","90/9376",0.3,2.344,4.90808418869195,1.27187674013255e-05,0.000481899964872444,0.000419496187973543,"SLC2A1/ABCC3/ABCC2/LDLR/AQP9/ABCB1/AQP4/SLC9A3/ATP1B1/SLCO1B3/UGT1A6/SLCO1B3-SLCO1B7/SLC51B/ADCY4/UGT1A7/ADCY8/UGT1A10/UGT1A1/UGT1A3/UGT2B15/UGT1A4/UGT1A5/SLCO1B1/ATP1A2/SLCO1A2/BAAT/SLC22A8",27
NA,NA,"hsa04382","Cornified envelope formation","50/1200","217/9376",0.230414746543779,1.80030721966206,4.56949695200297,1.87795496351057e-05,0.000640382642557103,0.000557456104957873,"COL17A1/ABCA12/KRT6A/DSP/PKP3/CLDN10/IVL/KRT16/KRT15/KRT80/DSG2/ITGB4/ST14/S100A2/SPRR1B/LAMB3/JUP/TMEM79/CLDN18/KRT6B/CLDN5/PPP2R2C/EPHX3/PKP1/KRT81/S100A16/COL7A1/S100A4/CLDN4/KRT19/CLDN3/LAMC2/CLDN2/S100A3/PADI1/KRT4/KRT17/KRT86/KRT14/KRT5/KRT20/CLDN14/COL4A3/CLDN9/S100A12/TGM5/PADI3/DSG3/CLDN6/KRT78",50
